State,County,State/County FIPS Code,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
Illinois ,Kendall ,17093,"24,626.90","25,446.00","16,526.20","21,331.70","25,820.00","5,841.60","19,391.20","24,495.40","25,996.90","22,326.10","15,374.70","31,546.40","9,008.70","30,907.40","36,877.10","13,257.20","13,979.70","19,393.60","19,330.50","29,266.70","28,912.30"
Illinois ,Knox ,17095,"16,522.90","21,223.10","13,235.70","21,273.00","21,311.90","3,152.10","16,776.70","21,369.00","20,917.00","18,477.60","13,867.50","26,747.50",0,"25,477.20","23,618.50","10,983.00","12,323.50","16,776.70","18,479.50","20,400.60","27,913.10"
Illinois ,LaSalle ,17099,"23,715.70","21,042.10","14,913.60","23,470.30","23,335.00","7,681.90","18,652.40","23,536.60","23,561.20","19,917.70","14,498.20","27,455.20","24,645.00","25,902.40","25,564.90","13,171.90","13,600.20","18,100.40","19,063.70","25,276.60","28,827.20"
Illinois ,Lake ,17097,"24,094.80","26,029.80","16,789.90","24,101.50","25,495.20","9,083.50","20,578.80","26,740.20","28,571.30","23,683.30","16,457.00","33,602.20","15,590.80","30,332.90","22,639.30","14,284.60","15,047.00","20,486.60","20,601.00","33,515.50","32,083.60"
Illinois ,Lawrence ,17101,"18,643.90","22,199.60","14,977.90","22,665.10","22,227.10",0,"16,750.30","23,998.60","21,522.40","19,884.00","13,766.10","22,308.10",0,"27,729.10",0,"13,032.70","12,942.90","19,494.90","18,276.00","27,509.00","26,486.20"
Illinois ,Lee ,17103,"15,613.50","15,060.90","13,730.20","21,106.00","20,419.40","6,574.00","17,433.10","20,015.10","21,073.90","15,745.90","12,699.80","18,652.50",0,"22,032.80","18,780.90","10,812.50","11,954.30","15,289.30","17,484.70","15,453.80","22,369.10"
Illinois ,Livingston ,17105,"22,752.10","18,880.50","14,929.70","22,399.50","21,352.50",0,"17,445.80","22,586.60","22,220.20","16,959.10","13,329.60","26,594.20",0,"26,271.00","31,162.90","11,926.80","13,250.60","16,121.30","17,860.10","24,253.40","24,075.30"
Illinois ,Logan ,17107,"21,832.50","23,646.40","17,117.40","21,220.20","21,840.40",0,"20,740.10","23,503.80","22,218.60","18,392.60","14,292.30","22,081.50",0,"25,518.30","21,948.10","12,617.00","12,807.10","17,433.40","22,109.40","25,228.80","34,002.40"
Illinois ,Macon ,17115,"17,902.20","20,571.90","13,742.90","19,939.80","19,821.20","4,978.60","19,195.70","22,410.10","22,592.90","18,630.40","13,450.30","24,883.10","17,279.30","23,043.30","19,365.80","11,839.60","12,163.40","15,130.50","19,387.60","25,215.00","26,481.00"
Illinois ,Macoupin ,17117,"24,690.00","20,945.90","14,455.70","22,472.30","24,497.90",0,"19,429.10","23,658.30","23,062.30","18,244.70","14,045.40","28,462.90",0,"24,933.20","22,953.20","12,738.10","12,775.10","18,021.60","18,030.70","24,506.40","30,322.90"
